schema:identifier,schema:latitude,schema:longitude,ksj:NOO,ksj:NPL,ksj:AS3,ksj:DSO,ksj:PAN,ksj:PMP,ksj:CSB,ksj:TPE,ksj:CSU,ksj:DEM,ksj:DEC,ksj:DEE,ksj:DSH,ksj:STS,ksj:FUT,ksj:DBP,ksj:DPS,ksj:DAC,ksj:NWS,ksj:GRP,ksj:TWG,ksj:MGP,ksj:MUW,ksj:MER,ksj:UPP,ksj:LOP,ksj:CWW,ksj:TWW,ksj:NWW,ksj:HPC
fc04_267,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1966-04,3,250,専焼,4,LNG,,800,100,1980-09,,,,,,,,,,,,,,,,,
fc04_268,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1967-03,4,250,専焼,4,LNG,,800,100,1981-04,,,,,,,,,,,,,,,,,
fc04_269,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1967-10,5,250,専焼,4,LNG,,800,100,1980-04,,,,,,,,,,,,,,,,,
fc04_270,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1968-02,6,250,専焼,4,LNG,,800,100,1978-02,,,,,,,,,,,,,,,,,
fc04_271,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1970-10,7,250,専焼,4,LNG,,800,100,1978-03,,,,,,,,,,,,,,,,,
fc04_272,34.5680607131603,135.440631935289,関西電力株式会社,堺港火力発電所,大阪府堺市西区築港新町1-2,1971-02,8,250,専焼,4,LNG,,800,100,1981-03,,,,,,,,,,,,,,,,,
fc04_273,34.8362406359501,136.962046954867,中部電力株式会社,碧南火力発電所,愛知県碧南市港南町2-8-2,2001-11,4,1000,専焼,3,石炭,湿式,3170,100,,,,,,,,,,,,,,,,,,
fc04_274,34.8362406359501,136.962046954867,中部電力株式会社,碧南火力発電所,愛知県碧南市港南町2-8-2,2002-11,5,1000,専焼,3,石炭,湿式,3170,100,,,,,,,,,,,,,,,,,,
fc04_275,34.8428144492312,136.926425313778,中山名古屋共同発電株式会社,名古屋発電所,愛知県知多郡武豊町,2000-04,1,149,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_276,34.9738471081207,136.828274507337,出光興産株式会社,愛知製油所発電所,愛知県知多市南浜町11番地,2004-07,1,252,専焼,8,残渣油,,0,0,,,,,,,,,,,,,,,,,,
fc04_277,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1967-01,2B,375,専焼,4,LNG,,1080,100,1985-03,,,,,,,,,,,,,,,,,
fc04_278,34.7100546257301,137.32271816975,明海発電株式会社,豊橋発電所,愛知県豊橋市明海町1,2000-04,1,147,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_279,34.8362406359501,136.962046954867,中部電力株式会社,碧南火力発電所,愛知県碧南市港南町2-8-2,1991-10,1,700,専焼,3,石炭,湿式,2500,100,,,,,,,,,,,,,,,,,,
fc04_280,34.8362406359501,136.962046954867,中部電力株式会社,碧南火力発電所,愛知県碧南市港南町2-8-2,1992-06,2,700,専焼,3,石炭,湿式,2500,100,,,,,,,,,,,,,,,,,,
fc04_281,34.8362406359501,136.962046954867,中部電力株式会社,碧南火力発電所,愛知県碧南市港南町2-8-2,1993-04,3,700,専焼,3,石炭,湿式,2490,100,,,,,,,,,,,,,,,,,,
fc04_282,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1966-02,1B,375,専焼,4,LNG,,1080,100,1984-07,,,,,,,,,,,,,,,,,
fc04_283,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1996-08,1GT,154,専焼,4,LNG,,440,100,,,,,,,,,,,,,,,,,,
fc04_284,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1995-08,2GT,154,専焼,4,LNG,,440,100,,,,,,,,,,,,,,,,,,
fc04_285,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1968-03,3,500,専混焼,4,原油,,1560,100,1982-04,,,,,,,,,,,,,,,,,
fc04_286,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1974-03,4,700,専混焼,4,原油,,2090,100,1979-04,,,,,,,,,,,,,,,,,
fc04_287,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1978-03,5B,700,専焼,4,LNG,,2080,100,,,,,,,,,,,,,,,,,,
fc04_288,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1995-06,5GT,154,専焼,4,LNG,,460,100,,,,,,,,,,,,,,,,,,
fc04_289,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1978-04,6B,700,専焼,4,LNG,,2080,100,,,,,,,,,,,,,,,,,,
fc04_290,34.9874125085344,136.84390819003,中部電力株式会社,知多火力発電所,愛知県知多市北浜町23,1994-09,6GT,154,専焼,4,LNG,,460,100,,,,,,,,,,,,,,,,,,
fc04_291,35.1288833921013,138.663899373782,ポリプラスチックス株式会社,富士工場発電所,静岡県富士市宮島973番地,2000-06,1,47,専焼,8,重油,,0,0,,,,,,,,,,,,,,,,,,
fc04_292,37.0338050992212,137.852400007546,糸魚川発電株式会社,糸魚川火力発電所,新潟県糸魚川市上刈7丁目1番,2001-07,1,134,専焼,3,石炭,,0,0,,,,,,,,,,,,,,,,,,
fc04_293,37.2078622579341,138.277306538386,中部電力株式会社,上越火力発電所,新潟県上越市八千浦,2012-07,1,1180,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
fc04_294,37.2078622579341,138.277306538386,中部電力株式会社,上越火力発電所,新潟県上越市八千浦,2017,2,1180,専焼,4,LNG,,0,0,,,,,,,,,,,,,,,,,,
